round,,attempted,passed,mistakes,accuracy,n
0,transitions,4,4,6.0,0.6606213059386434,11
0,knowledge,4,4,2.6666666666666665,0.7752136752136752,12
0,consistency,4,4,5.5,0.6473949579831932,10
0,interpretability,4,4,0.25,0.9791666666666666,4
0,commonsense,4,4,2.0,0.856456043956044,8
0,sociality,4,4,0.4,0.96,5
1,transitions,5,5,4.0,0.75,5
1,knowledge,7,6,2.8333333333333335,0.7720085470085469,12
1,consistency,4,4,5.090909090909091,0.6721161191749426,11
1,interpretability,5,5,1.0,0.9134199134199135,7
1,empathy,10,8,4.7,0.6866666666666666,20
1,personal_information,8,7,3.5,0.7666666666666667,16
1,commonsense,7,7,3.1,0.7774725274725275,10
1,sociality,4,4,0.75,0.9249999999999999,4
